ICP.Seq.No,Group,Sample,Type,Easting,Northing,pH,EC.?S.cm,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn
ENVT_AR_FA_5,7,2,Soil,391297,6466595,6.46,128.3,2587,2.55,13.69,1506,0.13,5.14,6.17,4.29,2281,0.37,239.3,2.27,302.74,45.55,0.19,189.5,2.01,9.73,227.3,18.17,280.90,8.41,NA,4.41,2.18,40.36
ENVT_AR_FA_15,7,3,Soil,391292,6466585,6.77,195.1,2894,2.77,21.25,1813,0.12,6.65,6.37,6.43,2888,0.61,237.8,2.99,375.62,48.66,0.16,188.2,3.14,4.53,347.6,22.43,410.71,9.81,0.58,5.36,3.09,48.29
ENVT_AR_FA_16,7,4,Soil,391341,6466567,6.62,159.8,4722,4.74,15.06,1110,0.10,8.32,10.79,5.73,3814,0.66,188.1,3.71,239.82,42.04,0.25,125.0,3.41,2.42,220.9,18.41,222.19,6.07,0.85,8.90,3.20,29.60
ENVT_AR_FA_18,7,5,Soil,391333,6466584,6.82,182.1,3752,3.04,18.99,1774,0.09,6.00,8.44,12.26,3540,1.06,301.1,2.42,341.70,46.56,0.25,182.2,2.35,2.87,350.9,19.07,337.18,11.07,NA,6.10,4.90,40.00
ENVT_AR_FA_19,7,6,Soil,391389,6466589,6.95,210.5,2686,4.05,20.77,1861,0.16,5.99,8.02,12.18,3177,0.49,297.9,2.24,374.32,30.51,0.23,120.2,2.10,2.22,350.8,32.54,341.18,8.88,NA,5.07,2.65,99.80
ENVT_AR_FA_21,7,7,Soil,391412,6466596,8.12,149.5,4263,4.91,41.67,28031,0.45,5.43,13.81,67.51,5617,0.65,241.1,2.82,741.07,39.76,0.27,179.1,0.43,4.60,244.7,130.06,201.08,95.25,2.07,10.57,1.96,247.80
ENVT_AR_FA_17,7,Sed1,Sediment,391352,6466430,4.63,217.9,1473,6.71,9.39,425,0.14,3.85,6.58,20.34,3018,0.50,100.7,2.12,203.69,10.36,0.77,101.7,1.32,1.50,51.7,119.64,2755.10,2.45,0.95,4.23,1.66,55.15
ENVT_AR_FA_20,7,Sed2,Sediment,391354,6466430,4.75,272,1767,7.20,15.68,925,0.17,5.41,6.64,20.93,3921,0.50,159.6,2.54,264.85,11.62,0.65,139.2,1.92,2.41,56.4,139.93,3961.51,4.39,0.89,5.12,2.01,79.53
ENVT_AR_FA_8,8,1,Soil,391335,6466509,7.15,48,2783,3.87,20.63,2416,0.17,7.66,9.22,12.96,3801,0.67,100.8,3.55,360.03,27.90,0.31,41.8,2.76,2.55,176.2,132.21,289.10,12.95,1.10,7.98,2.05,67.72
ENVT_AR_FA_9,8,2,Soil,391361,6466544,7.51,110,2896,2.37,10.39,11994,0.05,3.14,8.68,4.49,2174,0.36,81.1,1.20,653.07,10.33,0.15,147.5,0.05,0.93,126.9,33.93,193.16,80.66,1.32,5.67,1.27,23.47
ENVT_AR_FA_10,8,3,Soil,391382,6466515,6.97,34.2,3127,4.69,15.58,1182,0.15,4.48,9.67,14.43,3816,0.42,109.3,1.79,262.37,28.44,0.32,68.3,1.37,3.46,182.0,73.70,186.58,16.54,0.60,7.48,1.40,158.47
ENVT_AR_FA_12,8,4,Soil,391412,6466551,7.84,110.3,3540,2.89,18.70,5768,0.08,4.43,9.59,12.92,3525,0.63,105.6,1.71,350.16,16.03,0.22,83.6,0.95,2.95,172.6,47.21,201.30,25.65,1.05,7.43,1.30,62.91
ENVT_AR_FA_14,8,5,Soil,391323,6466483,6.83,29.1,1010,0.90,6.42,1101,0.10,2.87,2.14,2.83,1205,0.29,67.0,1.50,139.86,11.50,0.07,27.8,0.91,1.66,48.2,13.76,92.47,5.86,NA,2.32,0.44,23.38
